name,native,variants,family,styles,level,renamed_from,meaning,era,origin_person,origin_place,modifier,modified_era,introduced_by,disputed,provenance,sources
Kosokun Dai,公相君大,Chatan Yara no Kusanku; Kanku Dai; Kosokun Sho; Kusanku; Kusanku Dai; Kushanku Dai; Shiho Kosokun,japanese,dento-shito-ryu|hayashi-ha-shito-ryu|itosu-ryu|motobu-ha-shito-ryu|shito-kai|shito-ryu|shuri-te|genseiryu,middle,,"Shito-ryu reading of the envoy's name, Kusanku",Source kata c. 1760s-1800s; Shito-ryu naming from the 1930s,Traditionally Kanga Sakukawa after the envoy Kusanku; Shito-ryu redaction by Kenwa Mabuni from Itosu's teaching,"Shuri, Okinawa","Kenwa Mabuni, then the JKF Shitokai for competition",1930s-1970s,Kusanku (transmitted); Anko Itosu (modified); Kenwa Mabuni (transmitted); Kenei Mabuni (standardised); Kanga Sakukawa (created); Anko Itosu (standardised); Kenwa Mabuni (standardised),yes,Kusanku > Sakukawa > Matsumura > Itosu > Mabuni (Osaka) > Shito-ryu branches,"Mabuni K, Nakasone G. Kobo Kenpo Karate-do Nyumon (1938) | Mabuni Kenei. Empty Hand: The Essence of Budo Karate (2009) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C | WKF Kata List, 2nd edition (2019, rev. 2022)"
Kudo (Daido Juku) kata syllabus,空道・大道塾,Daido Juku kihon; Kudo kihon-kata,japanese,japanese-karate-generic|kudo|kyokushin,,,'Way of the void'; the style's formal training sets,Daido Juku founded 1981; renamed Kudo 2001,Takashi Azuma,"Sendai, Japan",Takashi Azuma and the Kudo International Federation,1981-2001,Takashi Azuma (created); Mas Oyama (transmitted),yes,Kyokushin (Azuma was an IKO champion) plus judo > Daido Juku Kuchu Kenpo (1981) > Kudo (2001),"Kudo International Federation / Daido Juku technical regulations | Azuma T. Kudo: the founding principles (Daido Juku publications, 1990s-2000s)"
Kumite Gata (Wado-ryu),組手形,Kihon Kumite; Yakusoku Kumite,japanese,wado-kai|wado-kokusai|wado-ryu|wado-ryu-karate-do-renmei|shintani-wado-kai,senior,,'Sparring forms'; prearranged attack-and-counter sequences,1930s-1940s,Hironori Otsuka,"Tokyo, Japan",Hironori Otsuka II and the JKF Wadokai,1970s-1990s,Hironori Otsuka (created); Hironori Otsuka II (standardised),yes,"Otsuka's original set, reported as 36 sequences later reduced > Wado branch syllabi",Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997) | Suzuki T. Karate-do (1967) | JKF Wadokai technical syllabus
Kushanku (Wado-ryu),公相君,Kanku Dai; Kosokun Dai; Kusanku,japanese,wado-kai|wado-kokusai|wado-ryu|wado-ryu-karate-do-renmei|shintani-wado-kai,middle,,Named for the Qing envoy Kusanku,"Kata c. 1760s-1800s; Wado version 1930s, among the nine official kata declared in 1977",Traditionally Kanga Sakukawa after the envoy Kusanku; Wado redaction by Hironori Otsuka,"Shuri, Okinawa (original); Tokyo (Wado version)",Hironori Otsuka,"1930s, fixed by the 1970s",Kusanku (transmitted); Kanga Sakukawa (created); Anko Itosu (modified); Gichin Funakoshi (brought); Hironori Otsuka (modified); Anko Itosu (standardised),yes,Kusanku > Sakukawa > Itosu > Gichin Funakoshi > Otsuka > Wadokai/Wado Kokusai,"Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997) | Suzuki T. Karate-do (1967) | JKF Wadokai official kata designations (1977) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C"
Kyakusen,脚戦,Kyakusen Dai; Kyakusen Sho,japanese,asai-ryu|japanese-karate-generic|shotokan,senior,,'Leg battle'; Dai and Sho versions,c. 1980s-2000s,Tetsuhiko Asai,"Tokyo, Japan",Masao Kagawa and the JKS,2006 onwards,Tetsuhiko Asai (created); Masao Kagawa (standardised),,Asai composition devoted to kicking combinations > JKS/Asai-ryu syllabus,"Japan Karate Shoto Federation (JKS) kata syllabus, Asai-ha | Asai T. instructional series on Asai-ha Shotokan kata (JKS, 1990s-2000s)"
Kyoku series,曲,Kyoku Ichi-Nana; Kyoku Nidan; Kyoku Sandan; Kyoku Shodan; Kyoku kata,japanese,doshinkan|japanese-karate-generic|renbukai|shudokan|toyama-ryu,junior,,Shudokan basic-form series,c. 1930s-1950s,Kanken Toyama and senior Shudokan students,"Tokyo, Japan",Shudokan and Doshinkan senior instructors,1950s-1970s,Kanken Toyama (created); Isao Ichikawa (transmitted); Kanken Oyadomari (created),yes,"Toyama's Shudokan (Tokyo, founded 1930) > Doshinkan (Ichikawa) and Renbukai lines","Toyama K. Karate-do Daihokan (1960) | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000) | Karatedo Doshinkan technical records (Ichikawa line)"
Meikyo,明鏡,Lohai; Meikyo Nidan/Sandan (Asai lineage); Meikyo Nidan/Sandan (later Shotokai/JKA extensions); Meikyō; Rohai; Rohai (parent kata),japanese,japanese-karate-generic|shotokai|shotokan|skif|ska|asai-ryu|iskf|jka|jska|kase-ha|kwf,senior,Rohai,bright mirror / polished mirror,renamed 1936; Shotokan version reworked late 1930s-1940s,"Unknown; Rohai lineage from Tomari-te (Matsumora line), arranged by Anko Itosu","Tomari, Okinawa; renamed in Tokyo, Japan",Gigo Funakoshi,late 1930s to 1940s,Kosaku Matsumora (transmitted); Anko Itosu (standardised); Gichin Funakoshi (renamed); Gigo Funakoshi (modified); Gigo Funakoshi (standardised),yes,Nagamine records 'Rohai was changed to Meikyo'. The Shotokan version condenses Itosu's three Rohai into one.,"WKF Competition Rules, Appendix: Official Kata List"
Meikyo Sho,明鏡小,Meikyo Nidan; Meikyo Sandan,japanese,asai-ryu|japanese-karate-generic|shotokan,senior,,"'Bright mirror, minor'",c. 1980s-2000s,Tetsuhiko Asai,"Tokyo, Japan",Masao Kagawa and the JKS,2006 onwards,Tetsuhiko Asai (created); Masao Kagawa (standardised),yes,Shotokan Meikyo (Rohai lineage via Itosu and Gichin/Gigo Funakoshi) > Asai's companion kata,"Japan Karate Shoto Federation (JKS) kata syllabus, Asai-ha | Asai T. instructional series on Asai-ha Shotokan kata (JKS, 1990s-2000s)"
Naihanchi (Wado-ryu),ナイハンチ,Chul Ki; Naifanchi; Naifanchin; Naihanchi Shodan; Tekki,japanese,wado-kai|wado-kokusai|wado-ryu|wado-ryu-karate-do-renmei|shintani-wado-kai,middle,,"Okinawan name of uncertain etymology, often glossed 'internal divided conflict'","Original 19th century or earlier; Wado version 1930s, among the nine official kata declared in 1977","Unknown; Shuri-te lineage. Wado redaction by Hironori Otsuka, strongly influenced by Choki Motobu",,"Hironori Otsuka, drawing on Choki Motobu's teaching rather than Funakoshi's","1920s-1930s, fixed by the 1970s",Anko Itosu (modified); Choki Motobu (transmitted); Gichin Funakoshi (brought); Hironori Otsuka (modified); Anko Itosu (standardised),yes,Shuri-te Naihanchi > Itosu (three-kata arrangement) and Motobu > Otsuka > Wadokai,"Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997) | Motobu C. Watashi no Karate-jutsu (1932) | JKF Wadokai official kata designations (1977) | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
Nijushiho,二十四歩,Niseishi; Niseishi (Wado-ryu); Nisseshi,japanese,japanese-karate-generic|jka|shito-ryu|shotokan|wado-ryu|shotokai|skif|ska|asai-ryu|iskf|jska|kase-ha|kwf|shito-kai,middle,Niseishi,'Twenty-four steps',"Niseishi source kata mid-to-late 19th century; entered Shotokan late 1930s, name from 1935 onward",Seisho Arakaki (Aragaki Seisho),"Kume, Naha, Okinawa","Gigo Funakoshi, then Masatoshi Nakayama",late 1930s-1950s,Seisho Arakaki (created); Kenwa Mabuni (transmitted); Gichin Funakoshi (renamed); Gigo Funakoshi (modified); Masatoshi Nakayama (standardised),yes,Aragaki Seisho (Naha) > Aragaki's students incl. Mabuni and Funakoshi's circle > Shotokan via Gigo Funakoshi > JKA,"Funakoshi G. Karate-do Kyohan (1935; Ohshima trans. 1973) | Nakayama M. Best Karate vol. 10 (Kodansha, 1987) | Mabuni K, Nakasone G. Kobo Kenpo Karate-do Nyumon (1938) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C"
Nipaipo,二十八歩,Nepai; Nepai (Shito-ryu); Nifanchin; Nihanchi-po; Nijuhachiho; Nipai,japanese,dento-shito-ryu|gohakukai|hayashi-ha-shito-ryu|itosu-ryu|japanese-karate-generic|shito-kai|shito-ryu|toon-ryu,senior,,'Twenty-eight steps',Source kata brought to Okinawa c. 1910s-1920s; Mabuni's arrangement c. 1930s,Gokenki (Wu Xianhui) transmitted the White Crane source; Kenwa Mabuni made the Shito-ryu arrangement,"Naha, Okinawa, then Osaka","Kenwa Mabuni, then Kenei Mabuni and the JKF Shitokai",1930s-1940s; competition form fixed from the 1960s,Gokenki (brought); Kenwa Mabuni (created); Kenei Mabuni (standardised); Kenwa Mabuni (modified); Juhatsu Kyoda (standardised); Tokashiki Iken (transmitted),yes,Fujian White Crane via Gokenki (Fuzhou tea merchant resident in Naha) > Mabuni (Osaka) > Shito-ryu branches > WKF competition canon,"Mabuni K, Nakasone G. Kobo Kenpo Karate-do Nyumon (1938) | Mabuni Kenei. Empty Hand: The Essence of Budo Karate (2009) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C | WKF Kata List, 2nd edition (2019, rev. 2022)"
Niseishi (Chito-ryu),二十四歩,Nijushiho; Niseishi,japanese,chito-ryu|japanese-karate-generic|yoshukai|yoshukai-international,,,'Twenty-four steps',Source kata 19th century; Chito-ryu form fixed from 1946,Seisho Arakaki (source); Tsuyoshi Chitose (Chito-ryu redaction),"Kumamoto, Japan","Tsuyoshi Chitose, rebuilding the kata on his own anatomical principles",1946-1970s,Seisho Arakaki (created); Tsuyoshi Chitose (modified); Yasuhiro Chitose (standardised),yes,"Aragaki Seisho (Naha) > Chitose's Okinawan training under Aragaki's successors and Hanashiro Chomo > Chito-ryu (Kumamoto, from 1946) > Soke Chitose line","Chitose T. Kempo Karate-do (1957) | International Chito-ryu Federation / Sokeikan kata syllabus | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
Niseishi (Wado-ryu),二十四歩,Nijushiho; Niseishi; Nisseshi,japanese,wado-kai|wado-kokusai|wado-ryu|shintani-wado-kai|wado-ryu-karate-do-renmei,senior,,'Twenty-four steps',Source kata mid-to-late 19th century; Wado version 1930s,Seisho Arakaki; Wado redaction by Hironori Otsuka,"Kume, Naha (original)",Hironori Otsuka,1930s-1970s,Seisho Arakaki (created); Kenwa Mabuni (transmitted); Hironori Otsuka (modified),yes,Aragaki Seisho > Mabuni (and Konishi's Tokyo circle) > Otsuka > Wadokai,"Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997) | Mabuni K, Nakasone G. Kobo Kenpo Karate-do Nyumon (1938) | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
Ohyo Kumite,応用組手,Ohyo Gumite; Oyo Kumite,japanese,wado-kai|wado-kokusai|wado-ryu,junior,,'Applied sparring',c. 1950s-1960s,"Disputed: usually credited to Tatsuo Suzuki, sometimes to Hironori Otsuka","Tokyo, Japan and later Europe",Tatsuo Suzuki and the Wado International Karate-do Federation,1960s-1980s,Tatsuo Suzuki (created); Hironori Otsuka (transmitted),yes,"Developed from Otsuka's Kihon Kumite as a freer, competition-facing set > Wado Kokusai and European Wado",Suzuki T. Karate-do (1967) | Wado International Karate-do Federation technical syllabus | Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997)
Papuren,八歩連,Hachiho Ren; Happoren; Pa Pu Lien; Paipuren,japanese,dento-shito-ryu|goju-ryu|japanese-karate-generic|naha-te|ryuei-ryu|shito-kai|shito-ryu|toon-ryu,senior,,'Eight-step continuous',Brought to Okinawa c. 1910s-1920s; in the Shito-ryu canon from the 1930s,"Gokenki (Wu Xianhui); Chinese White Crane origin, ultimate author unknown","Fuzhou, Fujian, then Naha",Kenwa and Kenei Mabuni; competition form fixed by the JKF Shitokai,1930s-1970s,Gokenki (brought); Kenwa Mabuni (transmitted); Kenei Mabuni (standardised); Juhatsu Kyoda (standardised); Kenwa Mabuni (standardised),yes,Fujian White Crane > Gokenki > Mabuni (Osaka) > Shito-ryu and Ryuei-ryu branches > WKF list,"Mabuni K, Nakasone G. Kobo Kenpo Karate-do Nyumon (1938) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C | WKF Kata List, 2nd edition (2019, rev. 2022) | McCarthy P. Bubishi: The Bible of Karate (1995)"
Passai (Wado-ryu),抜塞,Bassai Dai; Passai Dai,japanese,wado-kai|wado-kokusai|wado-ryu|shintani-wado-kai|wado-ryu-karate-do-renmei,middle,,to storm a fortress,Wado recension 1930s,Unknown. Nagamine: Passai 'was created by an unknown master long ago',,Hironori Otsuka,1930s; among the nine official Wado kata from 1977,Anko Itosu (standardised); Hironori Otsuka (modified),yes,"Itosu's Passai via Funakoshi, reworked by Otsuka; Wado retains the Okinawan name rather than adopting Bassai.","WKF Competition Rules, Appendix: Official Kata List"
Pinan (Wado-ryu),平安,Heian; Pinan Godan; Pinan Nidan; Pinan Sandan; Pinan Shodan; Pinan Yondan,japanese,shintani-wado-kai|wado-kai|wado-kokusai|wado-ryu|wado-ryu-karate-do-renmei,junior,,'Peaceful mind',"Itosu originals 1904-1907; Wado adaptation from the 1930s, confirmed among the nine official kata in 1977",Anko Itosu created the originals; the Wado versions are Hironori Otsuka's adaptations,"Shuri, Okinawa (originals); Tokyo (Wado versions)","Hironori Otsuka, applying Shindo Yoshin-ryu jujutsu body movement (tai sabaki, nagashi) to Itosu's originals","1930s, fixed by the 1970s",Anko Itosu (created); Gichin Funakoshi (brought); Hironori Otsuka (modified); Hironori Otsuka II (standardised),yes,"Itosu (Shuri, 1904-07) > Gichin Funakoshi (Tokyo, 1922) > Otsuka > JKF Wadokai / Wado Kokusai / Wadoryu Karatedo Renmei","Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997) | Suzuki T. Karate-do (1967) | JKF Wadokai official kata designations (1977) | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
Rakuyo,落葉,,japanese,asai-ryu|japanese-karate-generic|shotokan,senior,,'Falling leaves',c. 1980s-2000s,Tetsuhiko Asai,"Tokyo, Japan",Masao Kagawa and the JKS,2006 onwards,Tetsuhiko Asai (created); Masao Kagawa (standardised),,"Asai's own composition, heavy on close-range grappling and throwing > JKS/Asai-ryu syllabus","Japan Karate Shoto Federation (JKS) kata syllabus, Asai-ha | Asai T. instructional series on Asai-ha Shotokan kata (JKS, 1990s-2000s)"
Renbukai kata canon,錬武会形,Chinto; Jitte; Kusanku; Naihanchi set; Passai; Pinan set; Wanshu,japanese,japanese-karate-generic|ji-do-kwan|renbukai|shudokan|toyama-ryu,,,The kata set of the Zen Nihon Karatedo Renmei Renbukai,Organisation formed 1959; canon inherited from the Shudokan/Itosu line,"No original creator; the canon is Anko Itosu's, transmitted via Kanken Toyama's Shudokan","Tokyo, Japan","Renbukai technical committee, with Kinjo Hiroshi as its leading technical authority",1959-1980s,Anko Itosu (created); Kanken Toyama (transmitted); Kinjo Hiroshi (standardised),yes,"Itosu (Shuri) > Toyama's Shudokan (Tokyo, 1930) > Zen Nihon Karatedo Renmei Renbukai (1959) > bogu-kumite competition karate in Japan and its Korean contacts","Zen Nihon Karatedo Renmei Renbukai organisational records (from 1959) | Kinjo Hiroshi, writings on early Japanese karate (Gekkan Karatedo / Karate-do Kenkyu) | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000)"
Rohai (Wado-ryu),鷺牌,Meikyo; Ro Hai; Rohai Shodan; Tomari Rohai,japanese,wado-kai|wado-kokusai|wado-ryu|shintani-wado-kai|wado-ryu-karate-do-renmei,senior,,'Vision of a heron' or 'heron sign',Itosu arrangement c. 1900s from Tomari-te material; Wado version 1930s,Tomari-te lineage associated with Kosaku Matsumora; arranged by Anko Itosu; Wado redaction by Hironori Otsuka,,Hironori Otsuka,1930s-1970s,Kosaku Matsumora (transmitted); Anko Itosu (created); Gichin Funakoshi (brought); Hironori Otsuka (modified),yes,Tomari Rohai > Itosu's three-kata arrangement > Funakoshi (as Meikyo) and separately to Otsuka > Wadokai,"Otsuka H. Wado-ryu Karate (1970; Eng. trans. 1997) | Nagamine S. The Essence of Okinawan Karate-do (1976) | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C"
Rohai Dai,鷺牌大,Meikyo; Rohai,japanese,chito-ryu|japanese-karate-generic|yoshukai,,,"'Vision of a heron, major'",Chito-ryu form from 1946; source material 19th-century Okinawa,"Tsuyoshi Chitose, from Tomari-te Rohai material","Kumamoto, Japan","Tsuyoshi Chitose, then Yasuhiro Chitose",1946-1980s,Tsuyoshi Chitose (created); Yasuhiro Chitose (standardised),yes,Tomari Rohai / Itosu Rohai > Chitose's redaction > Chito-ryu syllabus,Chitose T. Kempo Karate-do (1957) | International Chito-ryu Federation / Sokeikan kata syllabus
Rohai Sho,鷺牌小,Meikyo; Rohai; Rohai Shodan,japanese,chito-ryu|japanese-karate-generic|yoshukai,,,"'Vision of a heron, minor'",Chito-ryu form from 1946; source material 19th-century Okinawa,"Tsuyoshi Chitose, from Tomari-te Rohai material","Kumamoto, Japan","Tsuyoshi Chitose, then Yasuhiro Chitose",1946-1980s,Tsuyoshi Chitose (created); Yasuhiro Chitose (standardised),yes,Tomari Rohai / Itosu Rohai > Chitose's redaction > Chito-ryu syllabus,"Chitose T. Kempo Karate-do (1957) | International Chito-ryu Federation / Sokeikan kata syllabus | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C"
Roppo,六法,Roppo Kihon; Roppo Sho,japanese,asai-ryu|japanese-karate-generic|shotokan,senior,,'Six directions',c. 1980s-2000s,Tetsuhiko Asai,"Tokyo, Japan",Masao Kagawa and the JKS,2006 onwards,Tetsuhiko Asai (created); Masao Kagawa (standardised),yes,Asai composition > JKS/Asai-ryu syllabus,"Japan Karate Shoto Federation (JKS) kata syllabus, Asai-ha | Asai T. instructional series on Asai-ha Shotokan kata (JKS, 1990s-2000s)"
Ryusan,龍山,Ryusan Dai; Ryusan Sho; Ryusan no Kata,japanese,chito-ryu|gohakukai|japanese-karate-generic|shito-ryu|yoshukai|yoshukai-international,,,'Dragon mountain',Chito-ryu form from 1946 onwards,Tsuyoshi Chitose,"Kumamoto, Japan",Yasuhiro Chitose and the International Chito-ryu Federation,1980s onwards,Tsuyoshi Chitose (created); Yasuhiro Chitose (standardised); Gokenki (brought),yes,Chitose's own composition within Chito-ryu > Chito-ryu and Yoshukai syllabi,Chitose T. Kempo Karate-do (1957) | International Chito-ryu Federation / Sokeikan kata syllabus | Yoshukai International kata syllabus
Sansai,三才,Koshiki no Sansai; Sansai Dai,japanese,genseiryu|japanese-karate-generic|taido,,,"'Three powers': heaven, earth and man",c. 1950s (Gensei-ryu founded 1953),Seiken Shukumine,"Japan (Shukumine originally of Kunigami, Okinawa)",Seiken Shukumine; later fixed by the Gensei-ryu Karate-do Federation,1950s-1960s,Seiken Shukumine (created),,Shukumine's Okinawan training (Kishimoto and Kyan lines) recast as an original composition > Gensei-ryu > international Gensei-ryu bodies,"Shukumine S. Shin Karate-do Kyohan (1955) | Shukumine S. Taido Gairon (1970) | Sells J. Unante: The Secrets of Karate, 2nd ed. (2000) | Gensei-ryu Karate-do Federation technical syllabus"
Sanshiryu,三十六,Sanseiru; Sanseiryu; Sanseru,japanese,chito-ryu|japanese-karate-generic|yoshukai,,,'Thirty-six',Chito-ryu form from the late 1940s-1950s; source kata Qing-era China via Naha-te,"Tsuyoshi Chitose, from the Sanseiru tradition","Kumamoto, Japan",Tsuyoshi Chitose,late 1940s-1970s,Kanryo Higaonna (brought); Tsuyoshi Chitose (created); Yasuhiro Chitose (standardised),yes,"Naha-te Sanseiru (Higaonna line, via Chitose's Okinawan training) > Chitose's redaction > Chito-ryu senior syllabus","Chitose T. Kempo Karate-do (1957) | International Chito-ryu Federation / Sokeikan kata syllabus | Bishop M. Okinawan Karate, 2nd ed. (1999), Appendix C"
